precinct,qualified_voters,count_voted,reported,no,yes,parish
01/01,1322,137,1,49,63,Acadia
01/02,1133,97,1,33,34,Acadia
01/03,1146,153,1,60,43,Acadia
01/04,1472,161,1,50,50,Acadia
01/05,513,36,1,19,8,Acadia
01/06,1061,77,1,54,4,Acadia
01/07,823,105,1,17,54,Acadia
01/08,1084,101,1,36,38,Acadia
02/01,1380,144,1,45,61,Acadia
02/02,1018,164,1,59,73,Acadia
02/03,1001,126,1,42,60,Acadia
02/04,189,19,1,12,5,Acadia
02/05,716,122,1,27,68,Acadia
03/01,506,71,1,34,27,Acadia
03/02,887,122,1,39,70,Acadia
03/03,1525,138,1,60,45,Acadia
03/04,982,161,1,100,33,Acadia
03/05,828,92,1,37,38,Acadia
03/07,986,102,1,30,50,Acadia
04/01,727,97,1,26,52,Acadia
04/02,828,109,1,28,59,Acadia
04/03,100,5,1,2,1,Acadia
04/04,1458,201,1,52,112,Acadia
04/05,890,128,1,36,68,Acadia
04/06,840,104,1,26,54,Acadia
05/01,359,49,1,31,17,Acadia
05/02,421,61,1,23,30,Acadia
05/03,828,89,1,18,45,Acadia
05/04,457,49,1,13,23,Acadia
05/05,252,45,1,17,22,Acadia
06/01,1011,101,1,61,6,Acadia
06/02,368,65,1,20,19,Acadia
06/03,723,124,1,49,21,Acadia
06/04,1090,142,1,56,35,Acadia
06/05,578,102,1,37,25,Acadia
06/06,798,146,1,98,7,Acadia
06/07,1090,142,1,45,47,Acadia
06/08,898,85,1,26,38,Acadia
06/10,366,77,1,15,42,Acadia
06/12,1040,150,1,42,52,Acadia
06/13,372,70,1,21,25,Acadia
06/14,861,102,1,49,31,Acadia
06/15,268,38,1,9,17,Acadia
06/16,434,72,1,29,18,Acadia
07/02,677,78,1,34,39,Acadia
07/03,1229,185,1,43,117,Acadia
07/04,968,145,1,25,85,Acadia
Early Voting,NA,NA,1,397,764,Acadia
01/01,855,154,1,67,32,Allen
01/02,207,46,1,24,10,Allen
01/03,301,52,1,23,12,Allen
01/06,533,81,1,24,7,Allen
02/01,390,49,1,25,17,Allen
02/02,937,155,1,77,36,Allen
02/03,455,87,1,43,30,Allen
02/05,1463,232,1,141,59,Allen
02/06,409,62,1,35,13,Allen
03/01,410,84,1,47,30,Allen
03/02,906,147,1,69,63,Allen
04/02,464,89,1,45,31,Allen
04/03,492,93,1,59,22,Allen
05/02,694,127,1,58,49,Allen
05/03,1386,172,1,81,55,Allen
05/04,974,146,1,66,49,Allen
05/05,328,51,1,20,21,Allen
05/07,1160,205,1,144,11,Allen
Early Voting,NA,NA,1,208,200,Allen
00/01 A,1069,180,1,79,36,Ascension
00/01 B,1007,162,1,54,50,Ascension
00/02,1585,199,1,75,41,Ascension
00/03,1768,284,1,107,75,Ascension
00/04,1636,289,1,131,84,Ascension
00/05,1805,289,1,128,76,Ascension
00/06,1951,299,1,135,67,Ascension
00/07,1701,325,1,149,59,Ascension
00/08 A,1121,189,1,50,28,Ascension
00/08 B,1167,199,1,81,39,Ascension
00/09,1302,232,1,110,34,Ascension
00/10,1041,198,1,71,48,Ascension
00/11 A,1484,278,1,153,42,Ascension
00/11 B,1361,206,1,107,40,Ascension
00/12,1959,262,1,94,76,Ascension
00/13,2042,278,1,127,83,Ascension
00/14,1092,158,1,53,59,Ascension
00/15,1413,195,1,57,76,Ascension
00/16,1710,353,1,143,68,Ascension
00/17,2118,345,1,210,32,Ascension
00/18,1740,255,1,104,74,Ascension
00/19,1208,246,1,140,24,Ascension
00/20,1211,227,1,116,54,Ascension
00/21,644,79,1,38,20,Ascension
00/22,773,126,1,44,44,Ascension
00/23,750,119,1,66,27,Ascension
00/24,481,68,1,29,17,Ascension
00/25,1273,155,1,74,31,Ascension
00/26 A,1028,179,1,63,74,Ascension
00/26 B,1034,142,1,39,75,Ascension
00/27,660,104,1,49,46,Ascension
00/28,846,179,1,134,17,Ascension
00/30,815,185,1,113,19,Ascension
00/31,1130,270,1,138,43,Ascension
00/32,1312,350,1,190,46,Ascension
00/33,1644,234,1,90,71,Ascension
00/34,1019,260,1,119,95,Ascension
00/35,1341,134,1,47,64,Ascension
00/36,1657,317,1,202,33,Ascension
00/37,2217,561,1,350,33,Ascension
00/38,927,230,1,144,11,Ascension
00/39,308,75,1,50,16,Ascension
00/40,1871,418,1,242,89,Ascension
00/41,974,121,1,36,52,Ascension
00/42,566,88,1,47,18,Ascension
00/43,1134,131,1,50,43,Ascension
00/44,995,258,1,186,13,Ascension
00/45,219,64,1,49,6,Ascension
00/47,1170,288,1,201,12,Ascension
00/48,455,117,1,45,30,Ascension
00/50,499,119,1,67,17,Ascension
00/51,875,187,1,117,7,Ascension
00/52,428,85,1,42,8,Ascension
00/53,588,111,1,60,25,Ascension
00/54,920,252,1,129,24,Ascension
00/55,610,188,1,122,3,Ascension
00/57,390,112,1,72,1,Ascension
00/58,1302,193,1,98,38,Ascension
00/61,1440,197,1,66,51,Ascension
00/62,806,148,1,49,48,Ascension
00/63,1460,259,1,141,58,Ascension
00/64,1193,210,1,74,48,Ascension
00/65,1070,225,1,101,49,Ascension
00/66,1684,402,1,149,110,Ascension
00/68,1111,203,1,103,52,Ascension
00/69,858,95,1,31,46,Ascension
00/71,2265,420,1,222,82,Ascension
00/72,1058,175,1,104,41,Ascension
00/73,415,67,1,20,25,Ascension
00/76,1991,299,1,124,84,Ascension
00/77,1463,265,1,117,47,Ascension
00/78,1301,245,1,88,72,Ascension
Early Voting,NA,NA,1,2608,1955,Ascension
01/01,501,178,1,136,4,Assumption
01/02,1142,322,1,202,18,Assumption
01/03,106,21,1,9,6,Assumption
02/01,493,86,1,34,26,Assumption
02/03,523,72,1,34,17,Assumption
02/04,373,63,1,27,27,Assumption
02/05,232,47,1,10,18,Assumption
03/01,237,23,1,9,9,Assumption
03/02,983,108,1,34,57,Assumption
04/01,1227,347,1,225,30,Assumption
04/03,367,80,1,36,26,Assumption
04/04,161,54,1,38,1,Assumption
05/01,395,139,1,81,4,Assumption
05/02,682,124,1,47,26,Assumption
05/03,358,43,1,17,15,Assumption
05/05,28,0,1,0,0,Assumption
06/01,397,88,1,54,10,Assumption
06/01 A,439,107,1,64,12,Assumption
06/02,552,187,1,118,6,Assumption
06/03,335,120,1,84,3,Assumption
07/01,473,88,1,54,19,Assumption
07/01 A,480,109,1,58,24,Assumption
07/02,220,21,1,10,10,Assumption
07/03,346,45,1,17,20,Assumption
08/01,855,100,1,50,37,Assumption
08/01 A,627,89,1,54,27,Assumption
09/01,858,90,1,36,46,Assumption
09/01 A,719,104,1,43,34,Assumption
Early Voting,NA,NA,1,481,229,Assumption
01/01,912,129,1,40,64,Avoyelles
01/02,863,124,1,35,54,Avoyelles
01/03,846,94,1,36,34,Avoyelles
02/01,964,128,1,48,26,Avoyelles
02/02,359,53,1,11,26,Avoyelles
02/02A,383,65,1,36,10,Avoyelles
02/02C,684,121,1,49,28,Avoyelles
02/04,1138,187,1,89,32,Avoyelles
02/04A,840,141,1,47,31,Avoyelles
02/05,528,99,1,23,12,Avoyelles
02/07,372,63,1,44,4,Avoyelles
02/08,454,56,1,40,2,Avoyelles
03/01,978,256,1,156,51,Avoyelles
03/01A,498,76,1,30,23,Avoyelles
03/03,388,64,1,26,17,Avoyelles
04/01,483,59,1,26,20,Avoyelles
04/02,1240,127,1,48,51,Avoyelles
04/02A,780,110,1,29,47,Avoyelles
05/01A,371,47,1,18,17,Avoyelles
06/01,535,80,1,27,40,Avoyelles
06/02,320,41,1,16,11,Avoyelles
06/02A,264,23,1,4,13,Avoyelles
07/01,992,165,1,101,27,Avoyelles
07/02,438,46,1,14,25,Avoyelles
07/03,38,4,1,0,2,Avoyelles
08/01,153,37,1,11,21,Avoyelles
08/02,237,35,1,20,10,Avoyelles
08/03,574,92,1,20,58,Avoyelles
08/03A,771,129,1,39,77,Avoyelles
09/01,360,89,1,52,11,Avoyelles
09/02,134,40,1,22,14,Avoyelles
09/02A,287,64,1,22,26,Avoyelles
09/03,1036,191,1,75,61,Avoyelles
09/05,654,137,1,92,15,Avoyelles
10/02,891,147,1,97,18,Avoyelles
10/02A,489,131,1,49,51,Avoyelles
10/03A,244,47,1,23,23,Avoyelles
10/03B,160,31,1,15,6,Avoyelles
10/04,743,144,1,90,4,Avoyelles
11/01,657,163,1,98,24,Avoyelles
11/02,260,24,1,5,11,Avoyelles
Early Voting,NA,NA,1,415,519,Avoyelles
00/01,218,27,1,13,10,Beauregard
00/01A,224,45,1,25,13,Beauregard
00/02,80,15,1,9,4,Beauregard
00/03,285,57,1,17,20,Beauregard
00/04,664,68,1,35,23,Beauregard
00/05,715,104,1,54,32,Beauregard
00/06,496,84,1,37,23,Beauregard
00/07,259,46,1,18,12,Beauregard
00/09,721,89,1,26,44,Beauregard
00/10,602,96,1,44,45,Beauregard
00/11,500,51,1,18,21,Beauregard
00/11B,416,55,1,20,22,Beauregard
00/12,1450,124,1,51,52,Beauregard
00/12A,1504,182,1,75,83,Beauregard
00/13,804,99,1,32,42,Beauregard
00/14,546,93,1,41,29,Beauregard
00/14A,421,51,1,20,22,Beauregard
00/15,441,84,1,25,36,Beauregard
00/16,768,121,1,39,47,Beauregard
00/16A,844,166,1,47,48,Beauregard
00/17,626,86,1,20,37,Beauregard
00/17A,421,60,1,19,32,Beauregard
00/18,244,34,1,10,7,Beauregard
00/18A,78,6,1,0,0,Beauregard
00/19,278,40,1,14,16,Beauregard
00/20,1457,161,1,65,59,Beauregard
00/21,509,76,1,37,24,Beauregard
00/22,708,99,1,25,57,Beauregard
00/25,1679,566,1,88,115,Beauregard
00/25B,530,161,1,36,35,Beauregard
00/26,886,285,1,69,34,Beauregard
00/27,431,106,1,16,20,Beauregard
00/27A,585,85,1,25,31,Beauregard
00/27B,611,242,1,42,48,Beauregard
00/28,644,217,1,72,19,Beauregard
00/28A,348,159,1,32,29,Beauregard
00/30,1292,437,1,71,108,Beauregard
