district,n_yes,n_no,n_sum,pct_yes,pct_no
1,1717,2208,3925,43.75,56.25
2,384,2599,2983,12.87,87.13
3,429,3228,3657,11.73,88.27
4,547,3451,3998,13.68,86.32
5,2036,2107,4143,49.14,50.86
6,2165,2603,4768,45.41,54.59
7,2296,2307,4603,49.88,50.12
8,1459,1630,3089,47.23,52.77
9,1061,1475,2536,41.84,58.16
10,1371,1884,3255,42.12,57.88
11,591,2174,2765,21.37,78.63
12,1714,2189,3903,43.91,56.09
13,1631,2937,4568,35.7,64.3
14,1550,1963,3513,44.12,55.88
15,1287,1201,2488,51.73,48.27
16,474,2511,2985,15.88,84.12
17,305,2106,2411,12.65,87.35
18,1520,3438,4958,30.66,69.34
19,1271,1754,3025,42.02,57.98
20,1514,1811,3325,45.53,54.47
21,769,2482,3251,23.65,76.35
22,1553,1637,3190,48.68,51.32
23,321,6220,6541,4.91,95.09
24,1880,1611,3491,53.85,46.15
25,2442,2714,5156,47.36,52.64
26,632,2669,3301,19.15,80.85
27,1992,1570,3562,55.92,44.08
28,1278,1896,3174,40.26,59.74
29,660,5015,5675,11.63,88.37
30,1195,1268,2463,48.52,51.48
31,1475,1907,3382,43.61,56.39
32,1060,1801,2861,37.05,62.95
33,1125,1484,2609,43.12,56.88
34,720,4512,5232,13.76,86.24
35,1201,1968,3169,37.9,62.1
36,2115,2784,4899,43.17,56.83
37,1284,1682,2966,43.29,56.71
38,1598,2262,3860,41.4,58.6
39,833,2053,2886,28.86,71.14
40,920,3005,3925,23.44,76.56
41,1437,1393,2830,50.78,49.22
42,1274,1442,2716,46.91,53.09
43,1131,1678,2809,40.26,59.74
44,360,2899,3259,11.05,88.95
45,1155,2756,3911,29.53,70.47
46,1715,1723,3438,49.88,50.12
47,1647,1688,3335,49.39,50.61
48,2105,2094,4199,50.13,49.87
49,1969,1500,3469,56.76,43.24
50,1475,3366,4841,30.47,69.53
51,1165,2239,3404,34.22,65.78
52,1457,1717,3174,45.9,54.1
53,1052,1585,2637,39.89,60.11
54,1684,1342,3026,55.65,44.35
55,1973,2861,4834,40.82,59.18
56,1675,3246,4921,34.04,65.96
57,510,4331,4841,10.54,89.46
58,909,5161,6070,14.98,85.02
59,970,2566,3536,27.43,72.57
60,1097,4317,5414,20.26,79.74
61,292,4445,4737,6.16,93.84
62,780,4043,4823,16.17,83.83
63,536,4716,5252,10.21,89.79
64,1774,1811,3585,49.48,50.52
65,1328,2763,4091,32.46,67.54
66,2984,3905,6889,43.32,56.68
67,304,2926,3230,9.41,90.59
68,1693,3708,5401,31.35,68.65
69,1988,3921,5909,33.64,66.36
70,1626,3610,5236,31.05,68.95
71,1238,1644,2882,42.96,57.04
72,1253,3688,4941,25.36,74.64
73,2513,2427,4940,50.87,49.13
74,2782,2317,5099,54.56,45.44
75,1432,2350,3782,37.86,62.14
76,1636,3072,4708,34.75,65.25
77,2129,2089,4218,50.47,49.53
78,1910,2582,4492,42.52,57.48
79,1424,2233,3657,38.94,61.06
80,1349,2355,3704,36.42,63.58
81,2030,2329,4359,46.57,53.43
82,1759,3518,5277,33.33,66.67
83,925,4122,5047,18.33,81.67
84,2485,3196,5681,43.74,56.26
85,1775,3153,4928,36.02,63.98
86,1667,2063,3730,44.69,55.31
87,556,3797,4353,12.77,87.23
88,1149,1943,3092,37.16,62.84
89,2759,2408,5167,53.4,46.6
90,1643,2433,4076,40.31,59.69
91,488,7128,7616,6.41,93.59
92,809,2707,3516,23.01,76.99
93,375,6368,6743,5.56,94.44
94,1671,3892,5563,30.04,69.96
95,1392,1708,3100,44.9,55.1
96,931,2777,3708,25.11,74.89
97,340,7651,7991,4.25,95.75
98,842,7223,8065,10.44,89.56
99,276,6391,6667,4.14,95.86
100,287,5255,5542,5.18,94.82
101,512,4652,5164,9.91,90.09
102,477,5941,6418,7.43,92.57
103,990,2612,3602,27.48,72.52
104,2012,2532,4544,44.28,55.72
105,1217,3433,4650,26.17,73.83
