district,n_yes,n_no,n_sum,pct_yes,pct_no,n_na,pct_not_na
1,4550,7211,11761,38.69,61.31,0,100
2,1992,12786,14778,13.48,86.52,2,98.25
3,1182,15869,17051,6.93,93.07,1,99.02
4,1494,15541,17035,8.77,91.23,1,98.99
5,1191,18962,20153,5.91,94.09,0,100
6,5152,9043,14195,36.29,63.71,0,100
7,1895,12829,14724,12.87,87.13,0,100
8,5417,8666,14083,38.46,61.54,0,100
9,3896,9149,13045,29.87,70.13,0,100
10,3999,6778,10777,37.11,62.89,1,98.7
11,6184,5669,11853,52.17,47.83,0,100
12,5154,6235,11389,45.25,54.75,0,100
13,3968,4079,8047,49.31,50.69,0,100
14,1434,9945,11379,12.6,87.4,0,100
15,994,12781,13775,7.22,92.78,0,100
16,4963,10155,15118,32.83,67.17,0,100
17,3838,8322,12160,31.56,68.44,2,98.5
18,3588,6101,9689,37.03,62.97,0,100
19,3586,8845,12431,28.85,71.15,1,98.97
20,3815,4397,8212,46.46,53.54,1,98.75
21,3780,7184,10964,34.48,65.52,1,99
22,4537,5129,9666,46.94,53.06,0,100
23,3793,6046,9839,38.55,61.45,0,100
24,1893,7641,9534,19.86,80.14,0,100
25,4442,5812,10254,43.32,56.68,0,100
26,4293,3901,8194,52.39,47.61,0,100
27,3032,6484,9516,31.86,68.14,0,100
28,4065,5209,9274,43.83,56.17,0,100
29,2143,6905,9048,23.68,76.32,0,100
30,4084,3878,7962,51.29,48.71,0,100
31,5634,6364,11998,46.96,53.04,0,100
32,4287,4545,8832,48.54,51.46,0,100
33,3912,4619,8531,45.86,54.14,0,100
34,1692,6495,8187,20.67,79.33,0,100
35,4303,4079,8382,51.34,48.66,0,100
36,3725,4262,7987,46.64,53.36,0,100
37,4716,5704,10420,45.26,54.74,0,100
38,5362,7059,12421,43.17,56.83,0,100
39,2117,7728,9845,21.5,78.5,0,100
