parish,ward,precinct,poll_place_name,poll_place_location,office,district,city
Caddo,0,1/1,RODESSA VILLAGE HALL,10093 MAIN ST,REP,1,RODESSA
Caddo,0,1/2,IDA MEANS COMMUNITY CENTER,6955 CEDAR LN,REP,1,IDA
Caddo,0,1/3,VIVIAN ELEM/MIDDLE SCHOOL,100 W KENTUCKY AVE,REP,1,VIVIAN
Caddo,0,1/4,NORTH CADDO BRANCH LIBRARY,615 N PINE ST,REP,1,VIVIAN
Caddo,0,1/5,HOSSTON VILLAGE HALL,15669 US HWY 71,REP,1,HOSSTON
Caddo,0,1/6,GILLIAM VILLAGE HALL,12825 MAIN ST,REP,1,GILLIAM
Caddo,0,1/7,OIL CITY COMMUNITY CENTER,310 SAVAGE ST,REP,1,OIL CITY
Caddo,0,1/8,BELCHER VILLAGE HALL,411 CHARLES ST,REP,1,BELCHER
Caddo,0,1/9,MOORINGSPORT ELEMENTARY SCHOOL GYM,602 LATIMER ST,REP,1,MOORINGSPORT
Caddo,0,1/10,BLANCHARD ELEM SCHOOL,402 BIRCH AVE,REP,1,BLANCHARD
Caddo,0,1/11,DONNIE BICKHAM MIDDLE SCHOOL,7240 OLD MOORINGSPORT RD,REP,1,SHREVEPORT
Caddo,0,1/12,BLANCHARD ELEM SCHOOL,402 BIRCH AVE,REP,1,BLANCHARD
Caddo,0,1/13,DONNIE BICKHAM MIDDLE SCHOOL,7240 OLD MOORINGSPORT RD,REP,1,SHREVEPORT
Caddo,0,1/14,BLANCHARD ELEM SCHOOL,402 BIRCH AVE,REP,1,BLANCHARD
Caddo,0,2/1,NORTHWOOD HIGH SCHOOL,5939 OLD MOORINGSPORT RD,REP,1,SHREVEPORT
Caddo,0,2/2,DONNIE BICKHAM MIDDLE SCHOOL,7240 OLD MOORINGSPORT RD,REP,1,SHREVEPORT
Caddo,0,2/4,DONNIE BICKHAM MIDDLE SCHOOL,7240 OLD MOORINGSPORT RD,REP,1,SHREVEPORT
Caddo,0,3/1,NORTH HIGHLANDS ELEM SCHOOL,885 POLEMAN RD,REP,1,SHREVEPORT
Caddo,0,6/10,SUMMERFIELD ELEM SCHOOL,3131 ARDIS TAYLOR DR,REP,1,SHREVEPORT
Caddo,0,11/1,WALNUT HILL ELEMENTARY MIDDLE SCHOOL,9360 WOOLWORTH RD,REP,1,SHREVEPORT
Caddo,0,11/2,WALNUT HILL ELEMENTARY MIDDLE SCHOOL,9360 WOOLWORTH RD,REP,1,SHREVEPORT
Caddo,0,11/6,GRAWOOD BAPTIST GYMNASIUM,5841 COLQUITT RD,REP,1,KEITHVILLE
