precinct,district,parish
00/01-01,1,Caddo
00/01-02,1,Caddo
00/01-03,1,Caddo
00/01-04,1,Caddo
00/01-05,1,Caddo
00/01-06,1,Caddo
00/01-07,1,Caddo
00/01-08,1,Caddo
00/01-09,1,Caddo
00/01-10,1,Caddo
00/01-11,1,Caddo
00/01-12,1,Caddo
00/01-13,1,Caddo
00/01-14,1,Caddo
00/02-01,1,Caddo
00/02-02,1,Caddo
00/02-04,1,Caddo
00/03-01,1,Caddo
00/06-10,1,Caddo
00/11-01,1,Caddo
00/11-02,1,Caddo
00/11-06,1,Caddo
00/11-09,1,Caddo
00/11-10,1,Caddo
00/12-01,1,Caddo
00/12-03,1,Caddo
00/12-07,1,Caddo
00/12-08,1,Caddo
00/12-09,1,Caddo
02/05A,2,Bossier
02/06,2,Bossier
02/08,2,Bossier
02/12A,2,Bossier
02/12B,2,Bossier
02/13,2,Bossier
02/23,2,Bossier
04/08D,2,Bossier
00/02-10,2,Caddo
00/02-11,2,Caddo
00/02-12,2,Caddo
00/03-02,2,Caddo
00/03-04,2,Caddo
00/03-05,2,Caddo
00/03-06,2,Caddo
00/03-07,2,Caddo
00/03-08,2,Caddo
00/03-09,2,Caddo
00/04-01,2,Caddo
00/04-02,2,Caddo
00/05-01,2,Caddo
00/05-02,2,Caddo
00/05-03,2,Caddo
00/05-04,2,Caddo
00/05-05,2,Caddo
00/05-06,2,Caddo
00/05-07,2,Caddo
00/05-08,3,Caddo
00/05-09,3,Caddo
00/05-11,3,Caddo
00/06-02,3,Caddo
00/06-03,3,Caddo
00/06-04,3,Caddo
00/06-05,3,Caddo
00/06-07,3,Caddo
00/07-05,3,Caddo
00/07-06,3,Caddo
00/07-08,3,Caddo
00/07-09,3,Caddo
00/10-01,3,Caddo
00/10-03,3,Caddo
00/10-04,3,Caddo
00/10-05,3,Caddo
00/10-06,3,Caddo
00/10-07,3,Caddo
00/10-08,3,Caddo
00/10-09,3,Caddo
00/11-04,3,Caddo
00/11-05,3,Caddo
00/02-03,4,Caddo
00/02-05,4,Caddo
00/02-06,4,Caddo
00/02-07,4,Caddo
00/02-08,4,Caddo
00/02-09,4,Caddo
00/03-03,4,Caddo
00/06-06,4,Caddo
00/06-08,4,Caddo
00/06-09,4,Caddo
00/07-01,4,Caddo
00/07-02,4,Caddo
00/07-03,4,Caddo
00/07-04,4,Caddo
00/07-07,4,Caddo
00/07-10,4,Caddo
00/12-02,4,Caddo
00/12-04,4,Caddo
00/12-05,4,Caddo
00/12-06,4,Caddo
00/12-10,4,Caddo
00/12-11,4,Caddo
01/01,5,Bossier
01/02,5,Bossier
01/03,5,Bossier
01/03A,5,Bossier
01/03B,5,Bossier
