precinct,district,parish
09/45,1,Orleans
09/45A,1,Orleans
00/33,1,St. Bernard
00/41,1,St. Bernard
00/43,1,St. Bernard
00/51,1,St. Bernard
00/52,1,St. Bernard
00/53,1,St. Bernard
00/54,1,St. Bernard
00/55,1,St. Bernard
00/602,1,St. Tammany
00/603,1,St. Tammany
00/604,1,St. Tammany
00/606,1,St. Tammany
00/609,1,St. Tammany
00/801,1,St. Tammany
00/802,1,St. Tammany
00/802A,1,St. Tammany
00/803,1,St. Tammany
00/804,1,St. Tammany
00/805,1,St. Tammany
00/806,1,St. Tammany
00/807,1,St. Tammany
00/808,1,St. Tammany
00/809,1,St. Tammany
00/810,1,St. Tammany
00/811,1,St. Tammany
00/812,1,St. Tammany
00/813,1,St. Tammany
00/814,1,St. Tammany
00/815,1,St. Tammany
00/815A,1,St. Tammany
00/816,1,St. Tammany
00/817,1,St. Tammany
00/818,1,St. Tammany
00/901,1,St. Tammany
00/902,1,St. Tammany
00/903,1,St. Tammany
00/903A,1,St. Tammany
00/904,1,St. Tammany
00/905,1,St. Tammany
00/906,1,St. Tammany
00/907,1,St. Tammany
00/909,1,St. Tammany
00/909A,1,St. Tammany
00/910,1,St. Tammany
00/911,1,St. Tammany
00/913,1,St. Tammany
00/914,1,St. Tammany
00/915,1,St. Tammany
00/916,1,St. Tammany
00/917,1,St. Tammany
00/918,1,St. Tammany
00/921,1,St. Tammany
00/922,1,St. Tammany
00/P01,1,St. Tammany
00/S01,1,St. Tammany
00/S02,1,St. Tammany
00/S03,1,St. Tammany
00/S04,1,St. Tammany
00/S05,1,St. Tammany
00/S06,1,St. Tammany
00/S07,1,St. Tammany
00/S08,1,St. Tammany
00/S09,1,St. Tammany
00/S10,1,St. Tammany
00/S11,1,St. Tammany
00/S13,1,St. Tammany
00/S15,1,St. Tammany
00/S16,1,St. Tammany
00/S17,1,St. Tammany
00/S18,1,St. Tammany
00/S19,1,St. Tammany
00/S21,1,St. Tammany
00/S22,1,St. Tammany
00/S23,1,St. Tammany
00/S24,1,St. Tammany
00/28,2,Ascension
00/30,2,Ascension
00/36,2,Ascension
00/37,2,Ascension
00/38,2,Ascension
00/39,2,Ascension
00/44,2,Ascension
00/45,2,Ascension
00/47,2,Ascension
00/48,2,Ascension
00/50,2,Ascension
00/51,2,Ascension
00/52,2,Ascension
00/53,2,Ascension
