precinct,qualified_voters,count_voted,reported,no,yes,parish
01/01,1322,137,1,45,66,Acadia
01/02,1133,97,1,35,32,Acadia
01/03,1146,153,1,60,41,Acadia
01/04,1472,161,1,54,45,Acadia
01/05,513,36,1,20,7,Acadia
01/06,1061,77,1,55,4,Acadia
01/07,823,105,1,17,53,Acadia
01/08,1084,101,1,34,41,Acadia
02/01,1380,144,1,45,62,Acadia
02/02,1018,164,1,47,82,Acadia
02/03,1001,126,1,41,61,Acadia
02/04,189,19,1,11,7,Acadia
02/05,716,122,1,34,62,Acadia
03/01,506,71,1,35,27,Acadia
03/02,887,122,1,34,74,Acadia
03/03,1525,138,1,56,49,Acadia
03/04,982,161,1,98,33,Acadia
03/05,828,92,1,32,42,Acadia
03/07,986,102,1,27,54,Acadia
04/01,727,97,1,25,53,Acadia
04/02,828,109,1,25,62,Acadia
04/03,100,5,1,2,1,Acadia
04/04,1458,201,1,56,108,Acadia
04/05,890,128,1,37,68,Acadia
04/06,840,104,1,26,55,Acadia
05/01,359,49,1,30,18,Acadia
05/02,421,61,1,23,32,Acadia
05/03,828,89,1,19,44,Acadia
05/04,457,49,1,10,25,Acadia
05/05,252,45,1,20,20,Acadia
06/01,1011,101,1,59,8,Acadia
06/02,368,65,1,20,19,Acadia
06/03,723,124,1,47,24,Acadia
06/04,1090,142,1,54,37,Acadia
06/05,578,102,1,39,23,Acadia
06/06,798,146,1,98,8,Acadia
06/07,1090,142,1,50,43,Acadia
06/08,898,85,1,26,38,Acadia
06/10,366,77,1,15,42,Acadia
06/12,1040,150,1,45,49,Acadia
06/13,372,70,1,25,22,Acadia
06/14,861,102,1,48,33,Acadia
06/15,268,38,1,7,18,Acadia
06/16,434,72,1,33,14,Acadia
07/02,677,78,1,35,38,Acadia
07/03,1229,185,1,43,117,Acadia
07/04,968,145,1,33,79,Acadia
Early Voting,NA,NA,1,425,738,Acadia
01/01,855,154,1,72,28,Allen
01/02,207,46,1,25,10,Allen
