precinct,qualified_voters,count_voted,reported,no,yes,parish
01/01,1322,137,1,50,63,Acadia
01/02,1133,97,1,32,34,Acadia
01/03,1146,153,1,61,42,Acadia
01/04,1472,161,1,52,47,Acadia
01/05,513,36,1,21,6,Acadia
01/06,1061,77,1,54,4,Acadia
01/07,823,105,1,15,56,Acadia
01/08,1084,101,1,35,39,Acadia
02/01,1380,144,1,41,65,Acadia
02/02,1018,164,1,50,82,Acadia
02/03,1001,126,1,41,61,Acadia
02/04,189,19,1,10,8,Acadia
02/05,716,122,1,31,65,Acadia
03/01,506,71,1,34,28,Acadia
03/02,887,122,1,42,65,Acadia
03/03,1525,138,1,58,47,Acadia
03/04,982,161,1,101,32,Acadia
03/05,828,92,1,42,33,Acadia
03/07,986,102,1,31,50,Acadia
04/01,727,97,1,29,49,Acadia
04/02,828,109,1,29,58,Acadia
04/03,100,5,1,2,1,Acadia
04/04,1458,201,1,59,105,Acadia
04/05,890,128,1,37,68,Acadia
04/06,840,104,1,23,58,Acadia
05/01,359,49,1,38,10,Acadia
05/02,421,61,1,22,33,Acadia
05/03,828,89,1,19,44,Acadia
05/04,457,49,1,13,23,Acadia
05/05,252,45,1,23,17,Acadia
06/01,1011,101,1,60,7,Acadia
06/02,368,65,1,22,17,Acadia
06/03,723,124,1,50,20,Acadia
06/04,1090,142,1,55,36,Acadia
06/05,578,102,1,40,22,Acadia
06/06,798,146,1,101,5,Acadia
06/07,1090,142,1,54,39,Acadia
06/08,898,85,1,27,37,Acadia
06/10,366,77,1,11,45,Acadia
06/12,1040,150,1,41,53,Acadia
06/13,372,70,1,20,27,Acadia
06/14,861,102,1,49,32,Acadia
06/15,268,38,1,11,15,Acadia
06/16,434,72,1,30,16,Acadia
07/02,677,78,1,35,38,Acadia
07/03,1229,185,1,48,113,Acadia
07/04,968,145,1,25,87,Acadia
Early Voting,NA,NA,1,444,713,Acadia
01/01,855,154,1,75,25,Allen
01/02,207,46,1,24,11,Allen
01/03,301,52,1,24,11,Allen
01/06,533,81,1,26,6,Allen
02/01,390,49,1,33,9,Allen
02/02,937,155,1,80,32,Allen
02/03,455,87,1,43,29,Allen
02/05,1463,232,1,125,75,Allen
02/06,409,62,1,35,13,Allen
03/01,410,84,1,44,33,Allen
03/02,906,147,1,72,58,Allen
04/02,464,89,1,45,32,Allen
04/03,492,93,1,61,20,Allen
05/02,694,127,1,54,53,Allen
05/03,1386,172,1,82,54,Allen
05/04,974,146,1,75,39,Allen
05/05,328,51,1,22,19,Allen
05/07,1160,205,1,145,11,Allen
Early Voting,NA,NA,1,217,183,Allen
00/01 A,1069,180,1,78,37,Ascension
00/01 B,1007,162,1,65,39,Ascension
00/02,1585,199,1,81,36,Ascension
00/03,1768,284,1,114,69,Ascension
00/04,1636,289,1,141,75,Ascension
00/05,1805,289,1,132,69,Ascension
00/06,1951,299,1,130,72,Ascension
00/07,1701,325,1,153,55,Ascension
00/08 A,1121,189,1,49,32,Ascension
00/08 B,1167,199,1,87,33,Ascension
00/09,1302,232,1,112,32,Ascension
00/10,1041,198,1,71,49,Ascension
00/11 A,1484,278,1,150,44,Ascension
00/11 B,1361,206,1,103,43,Ascension
